,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,БЮДЖЕТ ДОХОДОВ И РАСХОДОВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,2 месяца,,,Утрау МАРТ,,,,3 месяца,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
,Заезд номеров в месяц,,6 677,8 785,2 079,132%,415,405,405,98%,428,400,389,93%,805,794,-11,456,470,450,103%,1 275,1 244,,422,460,339,109%,606,720,496,119%,563,900,,160%,969,1050,,108%,899,1050,,117%,557,890,,160%,501,780,,156%,483,760,,157%,378,900,,238%
,"Заезд гостей в месяц, чел",,17 715,21 500,5 435,121%,1 123,1 092,1 092,97%,1 053,910,1 000,86%,2 002,2 092,90,1 208,1 220,1 205,101%,3 222,3 297,,1 107,1 150,876,104%,1 666,1 800,1 262,108%,1 525,2 250,,148%,2 697,2 750,,102%,2 454,2 800,,114%,1 376,2 200,,160%,1 277,1 800,,141%,1 263,1 800,,143%,966,2 000,,207%
,Заезд номероночей в месяц,,8 655,11 201,2 575,129%,542,510,510,94%,486,480,470,99%,990,980,-10,535,558,521,104%,1 548,1 501,,487,550,440,113%,834,990,634,119%,810,1 200,,148%,1 365,1 480,,108%,1 270,1 450,,114%,713,1140,,160%,621,920,,148%,565,900,,159%,427,1023,,240%
,ADR,,"12 118,8","12 519,1","53 083,0",103%,"15 714,2","13 464,7","13 464,7",86%,"11 659,7","10 937,5","9 472,0",94%,24 402,22 937,-1 465,"9 580,1","9 951,6","9 390,2",104%,11 451,10 776,,"9 023,9","9 800,0","9 062,5",109%,"10 685,2","10 909,1","11 693,6",102%,"12 699,4","13 140,8",,103%,"12 310,9","13 243,2",,108%,"13 903,4","14 137,9",,102%,"12 065,6","12 184,2",,101%,"10 711,8","11 793,5",,110%,"11 062,1","12 231,1",,111%,"14 098,1","14 418,4",,102%
,Процент загрузки,,"49,7%","65,2%","42,3%",131%,"33,4%","42,3%","42,3%",127%,"33,6%","37,5%","41,2%",112%,"39,90%","41,73%",0,"32,9%","43,9%","37,3%",133%,"41,2%","40,3%",,"32,3%","41,9%","44,9%",130%,"58,2%","71,1%","42,9%",122%,"61,4%","85,1%",,139%,"89,5%","93,9%",,105%,"82,7%","94,0%",,114%,"51,3%","76,0%",,148%,"45,1%","57,7%",,128%,"43,1%","57,7%",,134%,"32,5%","63,5%",,196%
1.,Выручка по операционной деятельности,,184 918 681,226 204 988,49 135 305,122%,15 312 522,11 771 073,11 810 650,77%,9 939 818,8 999 500,7 870 525,91%,20 770 573,19 681 175,-1 089 398,10 869 998,9 941 000,9 351 395,91%,30 711 573,29 032 570,,8 903 180,9 376 000,7 080 733,105%,15 902 570,17 202 200,13 142 152,108%,19 247 689,25 458 915,0,132%,29 380 911,32 760 300,0,112%,30 042 180,34 577 000,0,115%,14 955 108,22 600 000,0,151%,10 992 958,16 355 000,0,149%,9 953 910,16 291 000,0,164%,9 417 837,20 973 000,0,223%
1.1.,Проживание,-4 000 000,105 862 737,141 522 589,28 178 005,134%,8 628 584,6 962 674,6 962 674,81%,5 776 826,5 388 000,4 592 694,93%,12 350 674,11 555 368,-795 306,5 172 049,5 638 000,4 980 207,109%,17 988 674,16 535 575,,4 461 026,5 495 000,4 050 710,123%,8 978 024,10 910 000,7 591 720,122%,10 370 347,15 848 915,0,153%,16 896 534,19 740 000,0,117%,17 740 048,20 642 000,0,116%,8 655 796,13 990 000,0,162%,6 712 627,10 920 000,0,163%,6 389 811,11 163 000,0,175%,6 081 065,14 825 000,0,244%
1.1.1.,Услуги проживания,,104 888 077,140 226 889,27 612 365,134%,8 517 084,6 866 974,6 866 974,81%,5 666 626,5 250 000,4 451 854,93%,12 116 974,11 318 828,-798 146,5 125 349,5 553 000,4 892 307,108%,17 669 974,16 211 135,,4 394 626,5 390 000,3 987 510,123%,8 911 424,10 800 000,7 413 720,121%,10 286 547,15 768 915,,153%,16 804 384,19 600 000,,117%,17 657 248,20 500 000,,116%,8 602 796,13 890 000,,161%,6 652 027,10 850 000,,163%,6 250 101,11 008 000,,176%,6 019 865,14 750 000,,245%
