🏕  УТРАУ — Загородный отель | Ежемесячный отчёт P&L и ключевые метрики | 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Янв,,,,,,,Фев,,,,,,,Мар,,,,,,,Апр,,,,,,,Май,,,,,,,Июн,,,,,,,Июл,,,,,,,Авг,,,,,,,Сен,,,,,,,Окт,,,,,,,Ноя,,,,,,,Дек,,,,,,,,ГОД ИТОГО,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%
  🔑  КЛЮЧЕВЫЕ ОПЕРАЦИОННЫЕ МЕТРИКИ (KPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Загрузка (Occupancy), %",,"42,3%","42,3%",-,"33,4%","+8,9%","38,5%","+3,8%","37,5%","41,2%","+3,7%","33,7%","+7,5%","44,8%","-3,6%","43,9%","37,3%","-6,6%","32,9%","+4,4%","36,3%","+1,0%","41,9%","44,9%","+3,0%","32,3%","+12,6%","47,4%","-2,5%","71,1%","42,9%","-28,2%","58,2%","-15,3%","45,6%","-2,7%","85,1%",,"-85,1%","61,4%","-61,4%","79,0%","-79,0%","93,9%",,"-93,9%","89,5%","-89,5%","84,2%","-84,2%","94,0%",,"-94,0%","82,7%","-82,7%","77,6%","-77,6%","76,0%",,"-76,0%","51,3%","-51,3%","43,0%","-43,0%","57,7%",,"-57,7%","45,1%","-45,1%","38,8%","-38,8%","57,7%",,"-57,7%","43,1%","-43,1%","37,0%","-37,0%","63,5%",,"-63,5%","32,5%","-32,5%","27,2%","-27,2%",,"63,7%","17,4%","-46,3%","49,7%","-32,3%","49,9%","-32,6%"
Количество доступных номеров в месяц,,1 205,1 205,-,1 624,"+34,8%",1 409,"16,93%",1 120,1 142,"+2,0%",1 444,"+26,4%",1 392,"21,89%",1 271,1 398,"+10,0%",1 624,"+16,2%",1 555,"11,23%",1 290,979,"-24,1%",1 510,"+54,2%",1 470,"50,15%",1 395,1 478,"+5,9%",1 434,"-3,0%",1 513,"2,37%",1 410,,"-100,0%",1 320,#DIV/0!,1 536,#DIV/0!,1 470,,"-100,0%",1 525,#DIV/0!,1 662,#DIV/0!,1 550,,"-100,0%",1 536,#DIV/0!,1 581,#DIV/0!,1 500,,"-100,0%",1 391,#DIV/0!,1 543,#DIV/0!,1 612,,"-100,0%",1 377,#DIV/0!,1 585,#DIV/0!,1 560,,"-100,0%",1 310,#DIV/0!,1 428,#DIV/0!,1 612,,"-100,0%",1 315,#DIV/0!,1 340,#DIV/0!,,"16 995,0","6 202,0","-63,5%","17 410,0","+180,7%","18 014,0","190,45%"
Заезд номеров в месяц,,405,405,-,415,"+2,5%",402,"-0,74%",400,389,"-2,8%",428,"+10,0%",548,"40,87%",470,450,"-4,3%",456,"+1,3%",510,"13,33%",460,339,"-26,3%",422,"+24,5%",559,"64,90%",720,496,"-31,1%",606,"+22,2%",565,"13,91%",900,,"-100,0%",563,#DIV/0!,741,#DIV/0!,969,,"-100,0%",969,#DIV/0!,1 102,#DIV/0!,899,,"-100,0%",899,#DIV/0!,938,#DIV/0!,890,,"-100,0%",557,#DIV/0!,559,#DIV/0!,780,,"-100,0%",501,#DIV/0!,510,#DIV/0!,760,,"-100,0%",483,#DIV/0!,449,#DIV/0!,900,,"-100,0%",378,#DIV/0!,299,#DIV/0!,,"8 553,0","2 079,0","-75,7%","6 677,0","+221,2%","7 182,0","245,45%"
"Заезд гостей в месяц, чел",,1 092,1 092,-,1 123,"+2,8%",1 045,"-4,30%",910,1 000,"+9,9%",1 053,"+5,3%",1 430,"43,00%",1 220,1 205,"-1,2%",1 208,"+0,2%",1 441,"19,59%",1 150,876,"-23,8%",1 107,"+26,4%",1 455,"66,10%",1 800,1 262,"-29,9%",1 666,"+32,0%",1 523,"20,68%",2 250,,"-100,0%",1 525,#DIV/0!,1 933,#DIV/0!,2 697,,"-100,0%",2 697,#DIV/0!,3 036,#DIV/0!,2 454,,"-100,0%",2 454,#DIV/0!,2 535,#DIV/0!,1 800,,"-100,0%",1 376,#DIV/0!,1 423,#DIV/0!,1 800,,"-100,0%",1 277,#DIV/0!,1 313,#DIV/0!,1 800,,"-100,0%",1 263,#DIV/0!,1 149,#DIV/0!,2 000,,"-100,0%",966,#DIV/0!,787,#DIV/0!,,"20 973,0","5 435,0","-74,1%","17 715,0","+225,9%","19 070,0","250,87%"
"  Номеро-ночей продано, шт.",,510,510,-,542,"+6,3%",542,"6,27%",480,470,"-2,1%",486,"+3,4%",624,"32,77%",558,521,"-6,6%",535,"+2,7%",564,"8,25%",550,440,"-20,0%",487,"+10,7%",697,"58,41%",990,634,"-36,0%",834,"+31,5%",690,"8,83%",1 200,,"-100,0%",810,#DIV/0!,1 214,#DIV/0!,1 365,,"-100,0%",1 365,#DIV/0!,1 400,#DIV/0!,1 270,,"-100,0%",1 270,#DIV/0!,1 226,#DIV/0!,920,,"-100,0%",713,#DIV/0!,663,#DIV/0!,920,,"-100,0%",621,#DIV/0!,615,#DIV/0!,900,,"-100,0%",565,#DIV/0!,529,#DIV/0!,1 023,,"-100,0%",427,#DIV/0!,365,#DIV/0!,,"10 686,0","2 575,0","-75,9%","8 655,0","+236,1%","9 129,0","254,52%"
"  ADR (средний тариф), ₽",,13 465 ₽,13 543 ₽,"+0,6%",15 877 ₽,"+17,2%",13 060 ₽,"-3,57%",11 225 ₽,9 638 ₽,"-14,1%",12 358 ₽,"+28,2%",11 470 ₽,"19,01%",10 041 ₽,9 390 ₽,"-6,5%",10 660 ₽,"+13,5%",10 884 ₽,"15,91%",9 936 ₽,9 063 ₽,"-8,8%",9 652 ₽,"+6,5%",10 730 ₽,"18,40%",10 980 ₽,11 694 ₽,"+6,5%",10 745 ₽,"-8,1%",11 755 ₽,"0,53%",13 157 ₽,#DIV/0!,#DIV/0!,12 792 ₽,#DIV/0!,12 932 ₽,#DIV/0!,14 418 ₽,#DIV/0!,#DIV/0!,12 362 ₽,#DIV/0!,13 107 ₽,#DIV/0!,16 206 ₽,#DIV/0!,#DIV/0!,13 958 ₽,#DIV/0!,13 866 ₽,#DIV/0!,15 168 ₽,#DIV/0!,#DIV/0!,12 347 ₽,#DIV/0!,13 396 ₽,#DIV/0!,11 837 ₽,#DIV/0!,#DIV/0!,11 078 ₽,#DIV/0!,12 494 ₽,#DIV/0!,12 314 ₽,#DIV/0!,#DIV/0!,11 185 ₽,#DIV/0!,11 861 ₽,#DIV/0!,14 457 ₽,#DIV/0!,#DIV/0!,14 861 ₽,#DIV/0!,18 694 ₽,#DIV/0!,,13 191 ₽,13 449 ₽,"+2,0%",12 396 ₽,"-7,8%",12 781 ₽,"-4,97%"
