,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,графики,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,слайд №2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,,,,,
,2024 год,,2026 год,,,2024,2025,2026,,,,,,,,
январь,34%,,42%,,январь,38%,33%,42%,,,,,,,,
февраль,41%,,38%,,февраль,45%,33%,41%,,,,,,,,
март,35%,,44%,,март,35%,33%,37%,,,,,,,,
апрель,45%,,42%,,,,,,,,,,,,,
май,43%,,71%,,,,,,,,,,,,,
июнь,78%,,85%,,,,,,,,,,,,,
июль,83%,,94%,,,2024,2025,2026,,,,,,,,
август,76%,,94%,,январь,14758,15753,"13464,7",,,,,,,,
сентябрь,43%,,76%,,февраль,11 470,11 660,9472,,,,,,,,
октябрь,38%,,58%,,март,10 884,9 580,9390,,,,,,,,
ноябрь,34%,,58%,,,,,,,,,,,,,
декабрь,22%,,64%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2024,2025 год,2026 год,,,,,,,,,,,,,
январь,14758,15 714,13 465,,,,,,,,,,,,,
февраль,11470,11 660,10 938,,,,,,,,,,,,,
март,10884,9 580,9 952,,,,,,,,,,,,,
апрель,10749,"9023,9",9800,,,,,,,,,,,,,
май,11932,10685,10909,,,,,,,,,,,,,
июнь,12933,12699,13141,,,,,,,,,,,,,
июль,13130,12311,13243,,,,,,,,,,,,,
август,14002,13903,14138,,,,,,,,,,,,,
сентябрь,12555,12066,12184,,,,,,,,,,,,,
октябрь,12442,10712,11793,,,,,,,,,,,,,
ноябрь,11801,11062,12231,,,,,,,,,,,,,
декабрь,18730,14098,14418,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,слайд №3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Проживание,,"141,5","62,6%",,,,,,,,,,,,,
F&B,,66,"29,2%",,,,,,,,,,,,,
SPA,,"16,1","7,1%",,,,,,,,,,,,,
Прочие доходы (развлечения),,"2,6","1,1%",,,,,,,,,,,,,
,,"226,2",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2025,2026,,,,,,,,,,,,,,
январь,"15,3","11,8",,,,,,,,,,,,,,
февраль,"9,9","9,0",,,,,,,,,,,,,,
март,"10,9","9,9",,,,,,,,,,,,,,
апрель,"9,1","9,4",,,,,,,,,,,,,,
май,"15,9","17,2",,,,,,,,,,,,,,
июнь,"19,2","25,5",,,,,,,,,,,,,,
июль,"29,4","32,7",,,,,,,,,,,,,,
август,30,"34,6",,,,,,,,,,,,,,
сентябрь,15,"22,6",,,,,,,,,,,,,,
октябрь,11,"16,3",,,,,,,,,,,,,,
ноябрь,10,"16,3",,,,,,,,,,,,,,
декабрь,"9,4",21,,,,,,,,,,,,,,
,"185,10","226,30",,,,,,,,,,,,,,
,,слайд № 4,,,,,,,,,,,,,,
,2024,2025 год,2026 год,,,,,,,,,,,,,
Проживание,"116,7","104,9","137,5",,,,,,,,,,,,,
Ресторан  А-ля карт,"25,2","15,8","27,9",,,,,,,,,,,,,
Спа,"12,1","15,1","16,1",,,,,,,,,,,,,
Прочие услуги ,"1,9","0,3","2,6",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2024,2025 год,2026 год,,,,,,,,,,,,,
январь,1045,1123,1092,,,,,,,,,,,,,
февраль,1430,1053,1000,,,,,,,,,,,,,
март,1441,1208,1220,,,,,,,,,,,,,
апрель,1455,1107,1150,,,,,,,,,,,,,
май,1523,1666,1800,,,,,,,,,,,,,
июнь,1933,1525,2250,,,,,,,,,,,,,
июль,3036,2697,2750,,,,,,,,,,,,,
август,2535,2454,2800,,,,,,,,,,,,,
сентябрь,1423,1376,2200,,,,,,,,,,,,,
октябрь,1313,1277,1800,,,,,,,,,,,,,
ноябрь,1149,1263,1800,,,,,,,,,,,,,
декабрь,787,966,2000,,,,,,,,,,,,,
,19070,17715,21862,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
" Ключевые показатели загородного клуба ""Утрау""    ",,,,,,,,,,,,,,,,
Показатель,ед. изм.,2024 год (факт),2025 год (факт),2026 год (план),Отклонение 2026г./2025г.,,,,,,,,,,,
Выручка,млн. руб.,"200,6","185,1","226,3","22,3%",,,,,,,,,,,
Затраты,млн. руб.,"198,8","181,4","193,0","6,4%",,,,,,,,,,,
EBITDA ,млн. руб.,"1,8","3,7","33,3","800,0%",,,,,,,,,,,
Загрузка,%,51,50,65,"31,2%",,,,,,,,,,,
Номеро-ночи,ед.,9 129,8 655,11 201,"29,4%",,,,,,,,,,,
ADR,руб.,12 922,12 119,12 519,"3,3%",,,,,,,,,,,
,,,,,,,,,,,,,,,,
"ФОТ + налоги, руб.",101,"52,4%",,,,,,,,,,,,,,
" Продукты, руб.","20,8","10,8%",,,,,,,,,,,,,,
" Доставка персонала, руб.","3,3","1,7%",,,,,,,,,,,,,,
"Коммунальные платежи, руб.","22,3","11,6%",,,,,,,,,,,,,,
"Комлектация номеров, руб.","3,9","2,0%",,,,,,,,,,,,,,
"Стирка, химчиска, руб.","8,7","4,5%",,,,,,,,,,,,,,
" Реклама, руб.","2,7","1,4%",,,,,,,,,,,,,,
"Хоз. товары, бытовая химия, руб.","7,1","3,7%",,,,,,,,,,,,,,
"Прочее , руб.","17,7","9,2%",,,,,,,,,,,,,,
"ПО, интернет, связь, руб.","5,4","2,8%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"192,9","100,0%",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Выручка,,"226,3",,,,,,,,,,,,,,
Затраты,,"33,3",193,,,,,,,,,,,,,
EBITDA,,"33,3","10,6",,,,,,,,,,,,,
Амортизация,,"20,7","12,6",,,,,,,,,,,,,
Проценты по кредиту,,"16,1","4,6",,,,,,,,,,,,,
Налог на прибыль,,"12,1",4,,,,,,,,,,,,,
Чистая прибыль,,"12,0",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Операционная прибыль,Кредитные платежи,,,,,,,,,,,,,
январь,,"-2,5",1,,,,,,,,,,,,,
февраль,,"-4,3","1,1",,,,,,,,,,,,,
март,,-3,"-2,6",,,,,,,,,,,,,
апрель,,-4,"-2,6",,,,,,,,,,,,,
май,,"1,2","-12,2",,,,,,,,,,,,,
июнь,,"8,1","-11,3",,,,,,,,,,,,,
июль,,"13,3","-0,3",,,,,,,,,,,,,
август,,15,"-0,2",,,,,,,,,,,,,
сентябрь,,"5,4","-5,2",,,,,,,,,,,,,
октябрь,,"0,5","-5,2",,,,,,,,,,,,,
ноябрь,,"1,2","-0,02",,,,,,,,,,,,,
декабрь,,"2,4",0,,,,,,,,,,,,,
,,"33,3","-37,52",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Месяц,Доходы от операционной деятельности,Расходы от операционной деятельности,Нетто                   поток от операционной  детельности,Возврат налога ,Оплата     % по кредиту,"Оплата ""Тела""  кредита",Кассовый разрыв,,,,,,,,,
январь,"11,8","14,5","-2,7",,"0,7","2,0","-5,4","17,5","-5,4",,,,,,,
февраль,"9,0","13,5","-4,5","2,2","0,7","2,0","-5,0","15,2","-7,2",,,,,,,
март,"9,9","13,0","-3,1",,"0,6","2,0","-5,7","15,6","-5,7",,,,,,,
апрель,"9,4","13,4",-4,,"0,6","2,0","-6,6",16,"-6,6",,,,,,,
май,"17,2","16,0","1,2",,"0,6","11,6","-11,0","28,2","-11,0",,,,,,,
июнь,"25,5","17,3","8,2","8,0","0,5","10,8","4,9","29,9","-3,1",,,,,,,
июль,"32,7","19,5","13,2",,"0,3",,"12,9","22,7","12,9",,,,,,,
август,"34,6","19,5","15,1",,"0,2",,"14,9","23,1","14,9",,,,,,,
