,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Показатель,Ед. изм.,Январь 2025 год (факт),Январь 2026 год (план),Январь 2026 год (факт),Февраль 2025 год (факт),Февраль 2026 год (план),Февраль 2026 год (факт),,
Загрузка,%,"33,4%","42,3%","42,3%","33,6%","37,5%","41,2%",,
Номеро-ночи,ед.,542,510,510,486,"480,0",470,,
ADR,руб.,"157140,1","13464,7","13464,7","11659,7","10 937,5",9472,,
"Выручка, всего",млн руб.,"15,31","11,77","11,81","9,94","9,0","7,9",,
в т. ч.,,,,,,,,,
проживание,млн руб.,"8,63","6,96","6,96","5,78","5,39","4,60",,
 F&B,млн руб.,"4,72","3,77","3,77","2,58","2,59","2,48",,
СПА,млн руб.,"1,77","1,03","1,03","1,32","1,00","0,8",,
прочее,млн руб.,"0,19","0,01","0,05","0,26","0,02","0,02",,
,,,,,,,,,
"Затраты, всего",млн руб.,,"14,47","14,63",,"13,31","12,11",,
в т. ч.,,,,,,,,,
 ФОТ (зарплата+отчисления),млн руб.,,"8,19","8,19",,"7,36","7,33",,
коммунальные платежи,млн руб.,,"2,55","2,68",,"2,06","2,07",,
 продукты питания,млн руб.,,"1,40","1,32",,"  0,93   ","0,71",,
 фудкост,%,,40,38,,"40,0",33,,
Операционная прибыль/убыток,млн руб.,,"-2,7","-2,82",,"-4,3","-4,21",,
Возврат налога за предыдущий период,млн руб.,,,,,,"2,23",,
Получение кредитов/займов,млн руб.,,"3,75","3,75",,"3,8","3,4",,
Погашение  кредитов и процентов,млн руб.,,"2,69","2,69",,"2,7","2,11",,
Общий  результат по БДР,млн руб.,,"-1,64","-1,76",,"-3,2","-0,7",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Показатель,Ед. изм.,Январь 2024 год (факт),Январь 2025 год (факт),Январь 2026 год (факт),Январь 2026 год (план),,Февраль 2025 год (факт),Февраль 2026 год (план),Февраль 2026 год (факт)
Загрузка,%,,"33,4%","42,3%","42,3%",,"33,6%","37,5%","41,2%"
Номеро-ночи,ед.,,542,510,510,,486,"480,0",470
ADR,руб.,,"157140,1","13464,7","13464,7",,"11659,7","10 937,5",9472
"Выручка, всего",млн руб.,,"15,31","11,81","11,77",,"9,94","9,0","7,9"
в т. ч.,,,,,,,,,
проживание,млн руб.,,"8,63","6,96","6,96",,"5,78","5,39","4,60"
 F&B,млн руб.,,"4,72","3,77","3,77",,"2,58","2,59","2,48"
СПА,млн руб.,,"1,77","1,03","1,03",,"1,32","1,00","0,8"
прочее,млн руб.,,"0,19","0,05","0,01",,"0,26","0,02","0,02"
,,,,,,,,,
"Затраты, всего",млн руб.,,,"14,63","14,47",,,"13,31","12,11"
в т. ч.,,,,,,,,,
 ФОТ (зарплата+отчисления),млн руб.,,,"8,19","8,19",,,"7,36","7,33"
коммунальные платежи,млн руб.,,,"2,68","2,55",,,"2,06","2,07"
 продукты питания,млн руб.,,,"1,32","1,40",,,"  0,93   ","0,71"
 фудкост,%,,,38,40,,,"40,0",33
Операционная прибыль/убыток,млн руб.,,,"-2,82","-2,7",,,"-4,3","-4,21"
Возврат налога за предыдущий период,млн руб.,,,,,,,,"2,23"
Получение кредитов/займов,млн руб.,,,"3,75","3,75",,,"3,8","3,4"
Погашение  кредитов и процентов,млн руб.,,,"2,69","2,69",,,"2,7","2,11"
Общий  результат по БДР,млн руб.,,,"-1,76","-1,64",,,"-3,2","-0,7"
