,,,,,,,
OLAP Отчет по продажам,,,,,,,
Название ресторана: КАЕФ,,,,,,,
Период: с 01.01.2026 по 31.01.2026,,,,,,,
,,,,Итого,,,
Блюдо,Группа блюда 1-го уровня,Группа блюда 2-го уровня,Группа блюда 3-го уровня,Количество блюд,"Сумма со скидкой, р.","Себестоимость, р.",Себестоимость(%)
Азу из телячей вырезки,Архив,,,"79,000","56808,00","45519,59","80,13%"
Ассорти из свежих овощей 375гр,Архив,БАРБЕКЮ,,"3,000","1050,00","411,73","39,21%"
Бейби картофель с зеленью,Архив,ГРИЛЬ МЕНЮ,,"14,000","3500,00","424,15","12,12%"
,КУХНЯ,МЕНЮ A LA CARTE,Гарниры,"6,000","2100,00","278,09","13,24%"
Борщ на телятине со сметаной,КУХНЯ,МЕНЮ A LA CARTE,Супы,"101,000","65585,00","16560,48","25,25%"
Греческий,КУХНЯ,МЕНЮ A LA CARTE,Салаты,"33,000","20790,00","5181,00","24,92%"
Дорадо на гриле,КУХНЯ,МЕНЮ A LA CARTE,Основные блюда,"24,000","34800,00","10497,61","30,17%"
Дорадо на гриле now,Архив,МАСТЕР КЛАССЫ/ФУД ШОУ,,"3,000","4800,00","1479,75","30,83%"
Картофель фри с кетчупом,КУХНЯ,МЕНЮ A LA CARTE,Гарниры,"65,000","19110,00","3508,02","18,36%"
Картофельное пюре,КУХНЯ,МЕНЮ A LA CARTE,МЕНЮ НОВОЕ 2025 года,"7,000","2450,00","441,19","18,01%"
Картошечка фри с кетчупом,КУХНЯ,МЕНЮ A LA CARTE,Детское меню,"11,000","1650,00","476,42","28,87%"
Куриная грудка с овощами гриль,КУХНЯ,МЕНЮ A LA CARTE,Основные блюда,"39,439","34611,21","9345,15","27,00%"
Куриные котлетки с пюрешечкой,КУХНЯ,МЕНЮ A LA CARTE,Детское меню,"21,000","7942,00","2734,43","34,43%"
Куриный бургер ,КУХНЯ,МЕНЮ A LA CARTE,Детское меню,"59,000","35805,00","9398,28","26,25%"
Куриный супчик с лапшой,КУХНЯ,МЕНЮ A LA CARTE,Детское меню,"17,000","5862,50","897,17","15,30%"
Лайм 100гр,КУХНЯ,МЕНЮ A LA CARTE,Добавки/соуса,"0,500","90,00","31,50","35,00%"
Лимон 50 гр.,КУХНЯ,МЕНЮ A LA CARTE,Добавки/соуса,"1,000","100,00","12,10","12,10%"
"Листья романо с цитрусами, филе лосося и авокадо",КУХНЯ,МЕНЮ A LA CARTE,Салаты,"14,000","12460,00","3309,44","26,56%"
Майонез 30 гр,КУХНЯ,МЕНЮ A LA CARTE,Добавки/соуса,"2,000","80,00","13,51","16,89%"
