OLAP Отчет по продажам,,,,,,,
Название ресторана: КАЕФ,,,,,,,
Период: с 01.01.2026 по 31.01.2026,,,,,,,
,,,,Итого,,,
Блюдо,Группа блюда 1-го уровня,Группа блюда 2-го уровня,Группа блюда 3-го уровня,Количество блюд,"Сумма со скидкой, р.","Себестоимость, р.",Себестоимость(%)
Абрау Дюрсо Виктор Дравиньи  750мл,БАР,АЛКОГОЛЬ,Вина Игристые,"2,000","6000,00","2200,62","36,67%"
Абрау Дюрсо Виктор Дравиньи белое  750 мл,БАР,АЛКОГОЛЬ,Вина Игристые,"3,000","9000,00","3300,93","36,67%"
Агавито Бланко 40мл,БАР,АЛКОГОЛЬ,Текила,"19,500","7800,00","1757,67","22,53%"
Барсело Аньехо 40мл,БАР,АЛКОГОЛЬ,Ром,"22,500","9000,00","1774,67","19,72%"
Барсело Гран Аньехо Дарк 40 мл,БАР,АЛКОГОЛЬ,Ром,"18,500","8325,00","1980,24","23,79%"
беленькая 40мл,БАР,АЛКОГОЛЬ,Водка,"28,000","8400,00","1009,12","12,01%"
Белуга Нобл  40мл,БАР,АЛКОГОЛЬ,Водка,"41,200","14385,00","2973,47","20,67%"
Бушмилс ориджинал 40 мл,БАР,АЛКОГОЛЬ,Виски,"7,000","2800,00","718,80","25,67%"
Вальполичелла  750 мл,БАР,АЛКОГОЛЬ,Вина Красные,"1,000","4700,00","2807,20","59,73%"
Гордонс  40мл,БАР,АЛКОГОЛЬ,Джин,"18,500","7400,00","1569,86","21,21%"
Гранд Кюве  750мл,БАР,АЛКОГОЛЬ,Вина Игристые,"1,000","6500,00","2631,20","40,48%"
Джек Дэниел с Теннесси 40 мл,БАР,АЛКОГОЛЬ,Виски,"23,500","11750,00","2618,57","22,29%"
Кальвадос де Пэй д ОЖ,БАР,АЛКОГОЛЬ,Коньяк/бренди,"15,000","5880,00","2567,66","43,67%"
Краб энд Мо Шардоне  750мл,БАР,АЛКОГОЛЬ,Вина Белые,"3,000","9600,00","5781,60","60,23%"
Лимончелло Паллини  40 мл,БАР,АЛКОГОЛЬ,Аперативы/дижестивы,"15,000","5250,00","1693,29","32,25%"
Манки Шолдер 40 мл,БАР,АЛКОГОЛЬ,Виски,"19,000","10450,00","3240,86","31,01%"
Онегин Органик Спешал  40мл,БАР,АЛКОГОЛЬ,Водка,"15,000","6000,00","1731,84","28,86%"
Пиво Жигули барное ,БАР,АЛКОГОЛЬ,ПИВО БУТЫЛОЧНОЕ,"5,000","1950,00","478,80","24,55%"
Пиво Корона Экстра,БАР,АЛКОГОЛЬ,ПИВО БУТЫЛОЧНОЕ,"9,000","4230,00","1493,10","35,30%"
Пиво Крик де Лютин,БАР,АЛКОГОЛЬ,ПИВО БУТЫЛОЧНОЕ,"2,000","820,00","288,00","35,12%"
Пиво Неправильный мед ,БАР,АЛКОГОЛЬ,ПИВО БУТЫЛОЧНОЕ,"6,000","2460,00","773,04","31,42%"
Пиво Пауланер Вайссбир,БАР,АЛКОГОЛЬ,ПИВО БУТЫЛОЧНОЕ,"2,000","1180,00","622,88","52,79%"
Рэм Акчурин Мускат Оранж  750 мл,БАР,АЛКОГОЛЬ,Вина Красные,"1,000","3000,00","1254,00","41,80%"
Санта ортезия шардоне 125мл,БАР,АЛКОГОЛЬ,Вина по бокалам,"29,000","15950,00","2050,80","12,86%"
Сармиентос каберне совиньон 125,БАР,АЛКОГОЛЬ,Вина по бокалам,"21,000","11550,00","1475,25","12,77%"
Херес Тио Тото Крим  40мл,БАР,АЛКОГОЛЬ,Херес,"5,000","2250,00","584,32","25,97%"
Ягермайстер  40 мл,БАР,АЛКОГОЛЬ,Аперативы/дижестивы,"21,000","7350,00","1632,00","22,20%"
Итого,,,,"353,700","183980,00","51009,79","27,72%"
