OLAP Отчет по продажам,,,,,,
Название ресторана: КАЕФ,,,,,,
Период: с 01.01.2026 по 31.01.2026,,,,,,
,,,Итого,,,
Блюдо,Группа блюда 1-го уровня,Группа блюда 2-го уровня,Количество блюд,"Сумма со скидкой, р.","Себестоимость, р.",Себестоимость(%)
"Вода газ/негаз 0,5 товар",БАР,ХОЛОДНЫЕ НАПИТКИ,"6,000","600,00","141,00","23,50%"
"вода газ\негаз 0,5",БАР,ХОЛОДНЫЕ НАПИТКИ,"3,000","300,00","0,00","0,00%"
Глинтвейн,БАР,ГОРЯЧИЕ НАПИТКИ,"3,000","1200,00","208,14","17,35%"
Горячий шоколад,БАР,ГОРЯЧИЕ НАПИТКИ,"2,000","700,00","107,74","15,39%"
какао,БАР,ГОРЯЧИЕ НАПИТКИ,"12,000","3250,00","712,30","21,92%"
"Кока-кола 0,33 ст",БАР,ХОЛОДНЫЕ НАПИТКИ,"37,000","9250,00","4821,84","52,13%"
Кофе Американо АВТОМАТ,БАР,ГОРЯЧИЕ НАПИТКИ,"8,000","1750,00","239,04","13,66%"
Кофе Капучино АВТОМАТ,БАР,ГОРЯЧИЕ НАПИТКИ,"22,000","6000,00","701,30","11,69%"
Кофе Эспрессо АВТОМАТ,БАР,ГОРЯЧИЕ НАПИТКИ,"2,000","200,00","42,96","21,48%"
латте АВТОМАТ,БАР,ГОРЯЧИЕ НАПИТКИ,"10,000","2850,00","305,80","10,73%"
лимонад витаминный ,БАР,ХОЛОДНЫЕ НАПИТКИ,"3,000","1980,00","478,80","24,18%"
Лимонад Клубничный,Архив,ЛЕТНЕЕ МЕНЮ 2025,"1,000","200,00","46,21","23,11%"
Лимонад Манго-маракуйя,БАР,ХОЛОДНЫЕ НАПИТКИ,"22,000","15750,00","5758,81","36,56%"
Лимонад Мята Малина,БАР,ХОЛОДНЫЕ НАПИТКИ,"16,000","11200,00","2519,09","22,49%"
Лимонад Черноголовка,БАР,ХОЛОДНЫЕ НАПИТКИ,"7,000","2362,50","448,00","18,96%"
Мангошейк,БАР,ХОЛОДНЫЕ НАПИТКИ,"2,000","700,00","277,54","39,65%"
Молочный коктейль клубничный,БАР,ХОЛОДНЫЕ НАПИТКИ,"11,000","4650,00","1078,36","23,19%"
Молочный коктейль Шоколадный,БАР,ХОЛОДНЫЕ НАПИТКИ,"4,000","1500,00","354,56","23,64%"
Морс 0.250,БАР,ХОЛОДНЫЕ НАПИТКИ,"6,000","1032,50","68,06","6,59%"
Морс в асс 1л,БАР,ХОЛОДНЫЕ НАПИТКИ,"5,000","2800,00","189,07","6,75%"
"напиток ""Утрау"" белый",БАР,ГОРЯЧИЕ НАПИТКИ,"1,000","2000,00","565,74","28,29%"
"Напиток ""Утрау"" газированный",БАР,ГОРЯЧИЕ НАПИТКИ,"3,000","6000,00","1539,00","25,65%"
"Напиток ""Утрау"" красный",БАР,ГОРЯЧИЕ НАПИТКИ,"1,000","2000,00","562,00","28,10%"
Сок в асс. 1л,БАР,ХОЛОДНЫЕ НАПИТКИ,"5,000","2950,00","690,34","23,40%"
"Сок в асс.0,250",БАР,ХОЛОДНЫЕ НАПИТКИ,"18,000","3420,00","621,30","18,17%"
сок стекло в асс,БАР,ХОЛОДНЫЕ НАПИТКИ,"6,000","1500,00","284,62","18,97%"
Соус демиглясс now,Архив,МАСТЕР КЛАССЫ/ФУД ШОУ,"2,000","120,00","44,45","37,04%"
Чай в ассортименте,БАР,ГОРЯЧИЕ НАПИТКИ,"9,000","4950,00","540,83","10,93%"
Чай в чайнике,БАР,ГОРЯЧИЕ НАПИТКИ,"2,000","400,00","31,75","7,94%"
чай глинтвейн,БАР,ГОРЯЧИЕ НАПИТКИ,"22,330","14214,50","4372,31","30,76%"
Чай Имбирно Лимонный,БАР,ГОРЯЧИЕ НАПИТКИ,"20,000","13000,00","2017,34","15,52%"
Чай клубника-персик,БАР,ГОРЯЧИЕ НАПИТКИ,"16,000","8000,00","1504,65","18,81%"
чай малина-мята,БАР,ГОРЯЧИЕ НАПИТКИ,"7,000","4550,00","750,70","16,50%"
Чай молочный улун,БАР,ГОРЯЧИЕ НАПИТКИ,"3,000","1950,00","45,52","2,33%"
Чай Облепиховый,БАР,ГОРЯЧИЕ НАПИТКИ,"24,000","15600,00","2718,55","17,43%"
Чай Ромашковый,БАР,ГОРЯЧИЕ НАПИТКИ,"1,000","300,00","16,23","5,41%"
Чай с чабрецом,БАР,ГОРЯЧИЕ НАПИТКИ,"23,500","15210,00","378,36","2,49%"
Чай Утрау,БАР,ГОРЯЧИЕ НАПИТКИ,"6,000","3835,00","96,32","2,51%"
чай черная смородина-чабрец,БАР,ГОРЯЧИЕ НАПИТКИ,"10,000","6500,00","966,72","14,87%"
Итого,,,"361,830","174774,50","36245,35","20,73%"
