Сводный  отчет по движению денежных средств Службы питания и напитков за январь 2026г.,,,,,,
№ п/п,Наименование статьи ,,,,,
,,,,,,
,,СПИН,Всего за месяц:,,,
,,сумма,,,,
I,Приход СПиН,,,,,
,Завтрак,,"1 346 000,00 ₽",,,
1,Завтраки пакетные ,"1 341 000,00 ₽",,,,
,Завтраки от стойки,"5 000,00 ₽",,,,
2,А-ля карт,,"1 531 259,10 ₽",,,
,Кухня ,"1 172 504,60 ₽",,,,
,Бар напитки ,"174 774,50 ₽",,,,
,Бар алкоголь и пиво,"183 980,00 ₽",,,,
3,Банкеты,,"971 400,00 ₽",,,
,Питание,"773 400,00 ₽",,,,
,Аренда зала ,"144 000,00 ₽",,с арендой оборот FB ,,"3 857 359,10 ₽"
,Аренда оборудования,"0,00 ₽",,,,
,Пробковый сбор,"54 000,00 ₽",,,,
,Сервисный сбор,"0,00 ₽",,,,
4,Услуги,,"8 700,00 ₽",,,
,Услуга,"4 800,00 ₽",,,,
,Рум-сервис,"2 400,00 ₽",,,,
,Пробковый сбор,"1 500,00 ₽",,,,
,ИТОГО ПРИХОД ДС,"3 713 359,10 ₽",,,,
II,Расход закуп,,,,,
1,Продукты и напитки с/с (Завтраки),"581 011,00 ₽","  1 271 756,29 ₽ ",,,
2,Продукты и напитки с/с (А-ля карт),"415 104,06 ₽",,,,
3,Продукты и напитки с/с (Банкет),"275 641,23 ₽",,,,
,Списания за счет компании,,,,,
1,Комплементы,"24 854,58 ₽","173 497,49 ₽",,,
2,Порча,"3 164,93 ₽",,,,
3,Представительские,"1 494,51 ₽",,,,
4,Удаления со списанием,"9 797,27 ₽",,,,
5,Питание сотрудников,"126 048,07 ₽",,,,
6,Закрыто без оплаты,"6 425,78 ₽",,,,
7,Проработка блюд,"1 712,35 ₽",,,,
,ИТОГО РАСХОД ПРОДУКТОВ и НАПИТКОВ,"1 445 253,78 ₽",,,,
,Прочие расходы,,,,,
1,ТМЦ,,,,,
2,Посуда,,,,,
3,Хозтовары/Канцтовары,,,,,
4,СЭС,,,,,
5,Реклама (печать МЕНЮ),,,,,
6,Трансфер сотрудники,,,,,
7,ФОТ,,,,,
8,ФОТ мойка посуды аутсорс,,,,,
,Iiko,,,,,
,Лицензия на ПО iikoCloud Pro,,,,,
,ЖКХ,,,,,
1,Аренда,,,,,
2,Коммунальные расходы,,,,,
3,Интернет,,,,,
,ИТОГО ПРОЧИЕ РАСХОДЫ,"0,00 ₽",,,,
,Товарный остаток,,,,,
1,Кухня начало,"969 087,11 ₽",,,,
,Кухня закуп,"848 786,82 ₽",,,,
,Кухня конец,"439 070,08 ₽",,,,
,Ревизия Кухня,,,,,
2,Бар начало,"572 596,30 ₽",,,,
,Бар закуп,"259 396,09 ₽",,,,
,Бар конец,"657 197,82 ₽",,,,
,Ревизия Бар,,,,,
,Итого товарный остаток,"1 096 267,90 ₽",,,,
,,,,,,
,Количественный отчет,,,,,
,Количество гостей по меню а-ля карт за месяц ,,490,,,
,Количество гостей на банкеты,,120,,,
,Отчет по чекам,,,,,
,Средний чек по меню а - ля карт,,"3 125,02 ₽",,,
,Средний чек на банкеты,,"6 445,00 ₽",,,
,Средний FC за месяц меню кухня,,"28,28",,,
,Средний FC за месяц бар ,,"24,32",,,
,Средний FC за месяц меню a-la carte,,"27,10",,,
,Средний FC за месяц  завтраки,,"43,17",,,
,Средний FC за месяц банкет (без пробки и сервиса),,"35,64",,,
,,,,,,
,ОБЩИЙ FC службы,,"34,83",,,
