Акты списания,,,,,,,,
За период: с 01.01.2026 по 31.01.2026 ,,,,,,,,
,,,,,,,,
Дата,Тип,№  документа,Товары,"Сумма, р.",Проведен,Склад,Комментарий,Счет списания
03.01.2026 23:00,АЗ,0001,Чизейк на Д.Р.,"102,96",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 03.01.2026. Номер: {3},Удаление блюд со списанием
04.01.2026 23:00,АЗ,0002,Чизейк на Д.Р.,"308,89",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 04.01.2026. Номер: {3},Удаление блюд со списанием
05.01.2026 23:00,АЗ,0003,Чизейк на Д.Р.,"207,01",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 05.01.2026. Номер: {3},Удаление блюд со списанием
06.01.2026 23:00,АЗ,0004,"Салат с кофейным ростбифом и вареньем из огурцов, Чизейк на Д.Р.","626,87",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 06.01.2026. Номер: {3},Удаление блюд со списанием
07.01.2026 23:00,АЗ,0007,Чизейк на Д.Р.,"517,51",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 07.01.2026. Номер: {3},Удаление блюд со списанием
09.01.2026 23:00,АЗ,0013,"Овощи гриль, Чизейк на Д.Р., Азу из телячей вырезки, Пельмени с фермерской телятиной","1 393,62",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 09.01.2026. Номер: {3},Удаление блюд со списанием
10.01.2026 23:00,АЗ,0014,Чизейк на Д.Р.,"724,52",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 10.01.2026. Номер: {3},Удаление блюд со списанием
11.01.2026 23:00,АЗ,0015,Чизейк на Д.Р.,"310,52",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 11.01.2026. Номер: {3},Удаление блюд со списанием
12.01.2026 23:00,АЗ,0018,Чизейк на Д.Р.,"310,51",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 12.01.2026. Номер: {3},Удаление блюд со списанием
13.01.2026 23:00,АЗ,0031,Чизейк на Д.Р.,"103,50",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 13.01.2026. Номер: {3},Удаление блюд со списанием
15.01.2026 23:00,АЗ,0042,Чизейк на Д.Р.,"103,50",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 15.01.2026. Номер: {3},Удаление блюд со списанием
17.01.2026 23:00,АЗ,0050,"Куриный бургер , Фетучини с лососем, Цезарь с филе фермерского цыпленка, Листья романо с цитрусами, филе лосося и авокадо, Чизейк на Д.Р.","846,31",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 17.01.2026. Номер: {3},Удаление блюд со списанием
18.01.2026 23:00,АЗ,0053,Чизейк на Д.Р.,"517,52",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 18.01.2026. Номер: {3},Удаление блюд со списанием
19.01.2026 23:00,АЗ,0054,"Куриный бургер , Чизейк на Д.Р.","457,79",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 19.01.2026. Номер: {3},Удаление блюд со списанием
22.01.2026 23:00,АЗ,0079,Чизейк на Д.Р.,"103,51",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 22.01.2026. Номер: {3},Удаление блюд со списанием
23.01.2026 23:00,АЗ,0084,Чизейк на Д.Р.,"207,01",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 25.01.2026. Номер: {3},Удаление блюд со списанием
24.01.2026 23:00,АЗ,0085,Чизейк на Д.Р.,"515,49",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 25.01.2026. Номер: {3},Удаление блюд со списанием
24.01.2026 23:00,АЗ,0086,Лимонад Манго-маракуйя,"169,45",Да,Склад Бар,Создано на терминале Касса (WIN-543F3AC3219) 25.01.2026. Номер: {3},Удаление блюд со списанием
25.01.2026 23:00,АЗ,0087,"Чизейк на Д.Р., Чизкейк манго-маракуйя","426,03",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 25.01.2026. Номер: {3},Удаление блюд со списанием
26.01.2026 23:00,АЗ,0096,Чизейк на Д.Р.,"206,20",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 26.01.2026. Номер: {3},Удаление блюд со списанием
27.01.2026 23:00,АЗ,0106,Чизейк на Д.Р.,"206,19",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 27.01.2026. Номер: {3},Удаление блюд со списанием
28.01.2026 23:00,АЗ,0119,Чизейк на Д.Р.,"205,90",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 28.01.2026. Номер: {3},Удаление блюд со списанием
29.01.2026 23:00,АЗ,0122,Чизейк на Д.Р.,"102,95",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 29.01.2026. Номер: {3},Удаление блюд со списанием
30.01.2026 23:00,АЗ,0136,Чизейк на Д.Р.,"514,75",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 30.01.2026. Номер: {3},Удаление блюд со списанием
31.01.2026 23:00,АЗ,0138,"Чизейк на Д.Р., Турнедо по-казански ","608,76",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 31.01.2026. Номер: {3},Удаление блюд со списанием
,,25,,"Итого: 9 797,27",,,,
