Акты списания,,,,,,,
За период: с 01.01.2026 по 31.01.2026 ,,,,,,,
,,,,,,,
Дата,Тип,№  документа,Товары,"Сумма, р.",Проведен,Склад,Счет списания
01.01.2026 23:00,Р,0017,"Куриное бедро филе без кожи , Пенне Ригате , Крупа перловая, Соль, Сахар-песок, Молоко, Сливки 22%/ 33%, Масло сливочное 82,5%","2 484,72",Да,Склад Кухня,Расход Питание сотрудников
02.01.2026 23:00,Р,0021,"Фрикадельки куриные с/м, Крупа гречка, Перец болгарский, Масло сливочное 82,5%, Томаты , Масло растительное, Соль, Огурец свежий","2 143,65",Да,Склад Кухня,Расход Питание сотрудников
03.01.2026 23:00,Р,0104,"Говяжья щека , Капуста в маринадной заливке, Хлеб в асортименте, Индейка филе, Котлеты по домашнему Мустафа Халяль с/м, Горбуша филе на коже с/м, Рыба для бульона, айва, Говядина тушеная ВС , Котлетное мясо, Соус  Кимчи, Лапша домашняя яичная, Капуста краснокочанная, Капуста БК, Чеснок, Лапша гречневая Соба, Суповой набор Рыба, Свекла свежая, Сметана 20%, Картофель свежий, Пельмени, Майонез, Соль, Морковь свежая, Масло растительное, Кабачок, Куриная тушка, Молоко, Булочка в ассортименте","31 231,74",Да,Склад Кухня,Расход Питание сотрудников
04.01.2026 23:00,Р,0022,"Шпинат свежий, Сыр Маасдам 45%, Макароны/спагетти, Морковь свежая, Картофель свежий, Лук репчатый, Бульон сухой, Говядина тушеная ВС ","1 988,89",Да,Склад Кухня,Расход Питание сотрудников
05.01.2026 23:00,Р,0024,"Крупа гречка, Говядина тушеная ВС , ПФ фарш утиный на бургер, Макароны/спагетти, Морковь свежая, Лук репчатый, Капуста БК, Картофель свежий, Куриное бедро филе без кожи , Перец болгарский, Кукуруза зерно с/м, Лук красный, Горошек зеленый с/м","7 992,09",Да,Склад Кухня,Расход Питание сотрудников
06.01.2026 23:00,Р,0033,"Куриная грудка филе, Томаты , Дорадо","1 318,37",Да,Склад Кухня,Расход Питание сотрудников
07.01.2026 23:00,Р,0025,"Томаты Черри, Сыр Маасдам 45%, Баклажан, Куриная грудка филе, Говядина тушеная ВС , Крупа гречка, Лук репчатый, Морковь свежая, Макароны/спагетти, Фарш говядина","3 895,68",Да,Склад Кухня,Расход Питание сотрудников
08.01.2026 23:00,Р,0026,"Крупа гречка, Лук репчатый, Морковь свежая, Куриная грудка филе, Картофель свежий, Капуста квашеная, Перец болгарский, Майонез, Кабачок, Томаты Черри, Салат Романо","2 642,97",Да,Склад Кухня,Расход Питание сотрудников
09.01.2026 23:00,Р,0034,"Птитим, Баклажан, Фрикадельки куриные с/м, Паста томатная, Кабачок, Морковь свежая, Огурец свежий, Крупа перловая, Картофель свежий, Лук репчатый","2 152,04",Да,Склад Кухня,Расход Питание сотрудников
10.01.2026 23:00,Р,0058,"Макароны/спагетти, Куриная грудка филе, Кабачок, Паста томатная, Морковь свежая, Лук репчатый, Баклажан, Перец болгарский, Крупа гречка, Картофель свежий, Куриное бедро филе без кожи ","3 539,97",Да,Склад Кухня,Расход Питание сотрудников
