,Доходность и загрузка,,,,,,,,,,,,
,,,,,,,,,,,,,
,Валюта: RUB,,,,,,,,,,,,
,,,,,,,,,,,,,
,Период: 01.01.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Категории номеров: Бунгало с зоной патио, Aфрейм, Геокупол мини, Геокупол макси 20, Зеркальный дом на дереве, Бунгало с видом на залив, Панорамная баня, Кедровая баня, Липовая баня, VIP комната на 2-ом этаже, Массажный кабинет, Джакузи, Ресторан, Ресепшен услуги, Шатер, SPA комплекс, Зеркальный дом на воде, Бунгало в лесу, Гнездо на дереве, Геокупол лес, Бунгало на берегу залива, Нео-Типи, Бунгало в лесу СПА, Мыс, Пирс, Катер, Яхта, Гидроцикл, Гео Купол Аренда, Падел теннис, САП Борд, Баня бочка, Фурако, SPA-комплекс, Зона патио с 2-мя бунгало, Геокупол maxi 21",,,,,,,,,,,,
,,,,,,,,,,,,,
,Дата формирования: 29.06.2026,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Источник: От стойки, По звонку, Из канала продаж, Сайт гостиницы, Факс, Email, ВКонтакте, Мобильная версия сайта, Facebook, TripAdvisor, Импорт, Инстаграм, телеграм, ватсап, Камиль, Группы, Other, MICE, Leisure, Бронирование из экстранета, Яндекс.Путешествия, Мобильный экстранет",,,,,,,,,,,,
,,,,,,,,,,,,,
Дата,,Доход за проживание,Продано номероночей,,Заезд гостей,Заезд номеров,ADR,RevPar,ALS,Всего номеров,На ремонте,Всего доступно номеров,Общий % загрузки номеров
января 2025,,"8 517 084,25",542,,1123,415,"15 714,18","5 241,28","1,21",1705,80,1625,"33,35 %"
01.01.2025,,"1 601 516,75",40,,0,0,"40 037,92","32 030,34","0,00",55,5,50,"80,00 %"
02.01.2025,,"882 500,00",51,,139,51,"17 303,92","16 650,94","1,59",55,2,53,"96,23 %"
03.01.2025,,"900 900,00",47,,70,23,"19 168,09","16 998,11","1,35",55,2,53,"88,68 %"
04.01.2025,,"599 200,00",36,,63,21,"16 644,44","11 305,66","1,24",55,2,53,"67,92 %"
05.01.2025,,"380 500,00",25,,54,19,"15 220,00","7 179,25","1,21",55,2,53,"47,17 %"
06.01.2025,,"463 350,00",31,,77,26,"14 946,77","8 910,58","1,15",55,3,52,"59,62 %"
